Track 	Length	Distance	#Frames	1stFrame	time(s)	MaxSpeed	AvgArea	StdArea	AvgPerim	StdPerim	AvgSpeed	BLPS	avgX	avgX	Bends	BBPS
35	201.74207	68.12895	190	206	6.3333335	79.73373413085938	195.68947	20.018335	124.50387	12.591912	31.85401	0.5116951	1402.7462	1648.9	11.5	1.8157894736842106
36	93.551025	23.215027	112	276	3.7333333	64.27171468734741	420.75894	31.918604	204.38495	30.191208	25.058311	0.24520701	1248.8114	830.3335	1.0	0.26785714285714285
37	64.39425	39.37149	91	354	3.0333333	68.69140148162842	235.76923	5.4773817	128.92558	2.3739874	21.228874	0.3293198	1205.8359	916.9889	6.0	1.978021978021978
38	1081.7512	226.33931	1380	382	46.0	116.97323799133301	224.86667	12.017436	124.77383	5.8039613	23.516329	0.37694332	1203.298	177.49754	77.5	1.684782608695652
39	314.2429	34.91652	498	407	16.6	56.065964698791504	222.87149	6.1483626	125.55153	2.5429137	18.930296	0.3015542	1204.9086	809.30206	26.5	1.5963855421686748
40	144.4038	63.378006	124	422	4.133333	77.16084480285645	231.34677	5.9442453	130.03374	2.771629	34.9364	0.5373437	1198.0216	889.21643	8.0	1.935483870967742
41	244.64607	82.940735	260	492	8.666667	91.55260562896729	219.18462	7.60033	132.95343	4.0803833	28.228392	0.42463577	1323.4097	1637.8708	14.5	1.6730769230769231
42	275.74258	67.455086	195	492	6.5	98.65671873092651	203.71794	8.837446	123.41453	4.401339	42.421936	0.6874707	1334.6785	1672.3466	11.0	1.6923076923076923
43	487.87756	112.317375	630	511	21.0	72.4560284614563	205.21269	5.806019	117.38611	5.656737	23.232265	0.3958265	1779.9402	622.24054	33.5	1.5952380952380953
44	1223.8042	373.89044	1291	511	43.033333	95.97418785095215	199.72812	6.720994	118.60794	3.2443259	28.438519	0.47953817	1711.5875	584.7276	80.5	1.8706429124709527
45	170.9617	42.610775	278	528	9.266666	51.27595782279968	233.83093	7.9299855	127.18828	5.294946	18.449104	0.29010698	1330.1995	1150.5948	15.0	1.618705035971223
46	1260.9645	172.49692	1274	528	42.466667	98.35296392440796	191.71664	8.36945	116.086266	5.181165	29.69304	0.51156855	1228.2218	1274.5457	72.5	1.707221350078493
47	294.00238	16.422485	458	562	15.266666	60.416579246520996	255.36026	5.7761974	136.2741	2.2963767	19.257797	0.28263327	1233.171	885.3108	27.5	1.8013100436681222
48	84.51372	33.314342	93	563	3.1	79.3791675567627	409.07526	35.88485	191.73553	34.901314	27.26249	0.284376	1147.2567	924.92834	1.5	0.4838709677419355
49	258.1868	60.643578	322	583	10.733334	70.00717163085938	232.23914	6.347808	128.5856	2.8465421	24.05467	0.3741425	1298.8087	853.7997	19.5	1.8167701863354038
50	1001.28394	226.69495	1219	583	40.633335	85.36341905593872	188.42577	6.285623	114.82111	2.8979506	24.641933	0.42922306	1340.2853	993.417	78.0	1.9196062346185399
51	830.7203	368.46838	1121	641	37.366665	97.6038408279419	222.65746	24.964376	120.14285	12.729939	22.231586	0.37008587	1060.6086	164.03824	67.5	1.8064228367528992
52	129.57173	58.127857	155	705	5.1666665	80.6832504272461	211.72903	4.8834596	121.11405	2.187157	25.0784	0.41412863	1086.6392	930.5084	9.5	1.8387096774193548
53	120.73963	70.223015	155	705	5.1666665	83.56420755386353	226.74838	4.4642787	129.0636	2.6692111	23.368961	0.3621309	1088.523	970.94324	9.5	1.8387096774193548
54	1000.6326	270.1655	1094	708	36.466667	123.13910007476807	197.38208	17.552282	122.46205	9.378654	27.439651	0.44813314	1450.0825	1483.3436	64.5	1.7687385740402193
55	624.0547	88.04555	1072	730	35.733334	66.30975008010864	219.75093	6.994896	130.68388	3.8155708	17.464216	0.2672742	1069.7433	1593.0361	63.5	1.7770522388059702
57	215.18709	58.25107	203	753	6.766667	116.24587297439575	172.04434	38.78735	113.469765	19.558277	31.801046	0.5605202	1343.8632	1697.9897	11.5	1.6995073891625616
58	687.3071	40.358543	994	808	33.133335	70.3794264793396	236.81187	5.3975697	129.69655	2.508108	20.743677	0.31988016	1331.4796	1136.6047	59.5	1.795774647887324
59	1010.86615	98.59253	994	808	33.133335	102.77061939239502	210.87726	7.030005	121.83988	5.4251094	30.509039	0.50080544	1448.1901	1171.6387	60.5	1.8259557344064385
60	676.01056	170.58522	861	941	28.7	87.71764755249023	209.00697	6.1653533	118.38369	8.300111	23.554375	0.3979328	1187.9247	1022.2743	41.0	1.4285714285714286
61	780.87085	230.22272	771	1031	25.7	89.38719749450684	183.60052	14.003291	110.094246	9.979817	30.384079	0.5519649	829.1403	177.75116	41.5	1.6147859922178989
62	464.7213	40.72981	740	1062	24.666666	70.05743265151978	224.8	6.8640776	126.0036	3.7577736	18.840054	0.29903993	1189.0198	803.1621	41.0	1.662162162162162
63	542.80786	182.01591	734	1068	24.466667	169.7144365310669	232.43869	7.862802	128.51703	4.12996	22.185608	0.34525552	1322.9518	834.8088	42.5	1.737057220708447
64	534.8337	239.31947	712	1090	23.733334	84.26912069320679	227.93259	5.5444455	129.62524	3.1242747	22.535128	0.3476966	1015.0267	923.1698	44.5	1.875
66	179.51456	82.45517	225	1218	7.5	84.46256160736084	257.66223	5.350371	136.03926	2.5744143	23.935274	0.35188773	1153.3572	881.9951	12.5	1.6666666666666667
67	159.60974	84.37186	225	1218	7.5	58.43914031982422	218.55556	4.8502374	123.30954	2.3370283	21.2813	0.34516874	1147.1107	927.7024	13.0	1.7333333333333334
68	724.0723	221.72307	567	1235	18.9	101.07463359832764	199.65433	23.630558	121.40053	12.961721	38.310703	0.6311456	1092.5886	1671.7343	36.0	1.9047619047619047
69	291.87335	43.325874	499	1303	16.633333	55.969308614730835	237.13226	5.773376	129.13214	6.4770746	17.547497	0.2717758	1697.2063	592.616	25.0	1.503006012024048
70	328.45358	29.44078	499	1303	16.633333	64.64860439300537	209.51503	6.0098042	120.03399	2.5060384	19.746708	0.3290186	1712.6211	643.62744	30.0	1.8036072144288577
71	317.0388	132.2839	348	1454	11.6	145.1431703567505	212.21265	14.51763	130.43587	6.8665276	27.330929	0.41907078	1292.4443	1658.8003	23.0	1.9827586206896552
72	224.43321	90.39819	211	1591	7.0333333	84.45166826248169	253.48816	6.141475	134.75636	4.0330005	31.909935	0.47359446	1056.5928	980.935	10.5	1.4928909952606635
73	133.84402	56.766464	211	1591	7.0333333	69.35925006866455	217.18483	5.264342	121.43529	3.938082	19.029955	0.31341723	1127.2505	971.9985	10.5	1.4928909952606635
74	102.542595	44.03799	106	1696	3.5333333	119.83137845993042	220.85849	46.477734	116.44397	24.37382	29.021488	0.4984627	1892.0574	382.63824	6.5	1.8396226415094339
