Track 	Length	Distance	#Frames	1stFrame	time(s)	MaxSpeed	AvgArea	StdArea	AvgPerim	StdPerim	AvgSpeed	BLPS	avgX	avgX	Bends	BBPS
1	987.8679	358.8741	1801	0	60.033333	60.69947004318237	262.86563	6.037544	131.95946	2.6025321	16.455324	0.24939969	860.0933	303.9909	91.0	1.515824541921155
2	1556.5007	251.6634	1796	0	59.866665	244.61148262023926	250.42316	14.583739	128.03783	6.22975	25.999456	0.40612146	1209.404	145.492	104.0	1.7371937639198218
3	998.29553	263.59787	1801	0	60.033333	57.68089771270752	209.21266	7.460621	115.76913	5.395484	16.62902	0.287279	691.3886	381.63287	88.0	1.4658523042754026
4	1371.4366	94.607414	1801	0	60.033333	100.20683526992798	228.90782	4.7798595	123.01847	3.6068451	22.844585	0.3714009	1169.097	471.96954	103.0	1.7157134925041644
5	1080.0264	119.15415	1801	0	60.033333	114.75872039794922	240.09384	10.66654	124.90813	7.300387	17.990444	0.28805882	1710.4772	677.1861	87.0	1.4491948917268185
6	198.2925	43.151596	342	0	11.4	73.60352754592896	253.04094	3.8251472	129.46889	2.617032	17.39408	0.26869896	1291.8538	552.6757	14.5	1.2719298245614035
7	238.4216	62.023438	508	0	16.933332	46.38205289840698	259.87796	4.181398	133.18109	2.2907112	14.080015	0.21144167	1274.0009	625.6346	27.0	1.594488188976378
8	213.06255	32.384354	342	0	11.4	66.06112718582153	213.14035	4.1175056	114.097336	6.188514	18.689697	0.3276097	1234.3859	609.5958	16.5	1.4473684210526316
9	403.141	147.94862	660	0	22.0	71.42062425613403	218.65607	4.2047243	122.05047	5.0138164	18.32459	0.3002789	1209.055	697.179	32.5	1.4772727272727273
10	59.708984	29.544197	100	0	3.3333333	49.006969928741455	201.79	5.0418353	109.77219	3.8379977	17.912695	0.32636127	1425.5775	624.1734	6.0	1.8
11	90.188896	53.200317	164	0	5.4666667	48.09534788131714	243.39635	3.742672	126.415306	2.2531383	16.497969	0.2610122	1391.0245	621.8967	9.5	1.7378048780487805
12	79.73724	40.01066	100	0	3.3333333	60.55239200592041	167.55	2.9826941	103.25465	8.802112	23.921173	0.4633433	1441.3245	650.4886	6.0	1.8
13	114.11809	48.883907	124	0	4.133333	87.58003234863281	245.37903	4.01945	128.66284	2.2850816	27.609215	0.42917153	1448.8435	676.56915	7.0	1.6935483870967742
14	106.23173	65.85674	187	0	6.233333	51.436132192611694	243.61497	4.1660933	129.36223	2.7977521	17.042522	0.26348528	1541.5033	682.81213	10.0	1.6042780748663101
15	335.84552	34.131577	660	0	22.0	54.75005507469177	212.80606	3.6482635	117.53451	2.0850482	15.265706	0.2597655	1127.1505	699.65137	36.0	1.6363636363636365
17	694.1169	55.64501	1055	0	35.166668	69.6259617805481	213.54123	3.590251	118.18836	3.855316	19.73792	0.33400786	884.5827	703.3873	58.5	1.6635071090047393
18	844.4547	187.31964	1062	0	35.4	126.91075801849365	218.60829	11.050439	118.16542	9.310335	23.854652	0.40375012	1722.618	869.959	51.0	1.4406779661016949
19	165.78293	87.80994	232	0	7.733333	70.46499967575073	218.22414	3.4253604	122.63936	2.0678606	21.437449	0.34960145	951.86536	852.3513	14.5	1.875
20	526.2489	21.878893	1038	0	34.6	58.24249505996704	246.97592	4.257887	125.45164	4.112473	15.209505	0.24247599	1451.2269	884.76697	57.0	1.6473988439306357
21	194.6791	101.11044	232	0	7.733333	77.80442476272583	208.47845	3.817193	119.65337	2.3081636	25.17402	0.42078248	1078.4027	890.7595	14.0	1.8103448275862069
22	105.23303	37.992275	179	0	5.9666667	80.52098035812378	229.40224	23.274984	111.89857	14.260229	17.636822	0.31522873	1851.5557	948.95166	9.0	1.5083798882681565
23	818.9715	157.27269	1019	0	33.966667	80.4721212387085	203.07753	23.775946	108.22183	13.201779	24.111034	0.4455854	1777.225	1039.3136	59.5	1.7517173699705593
24	381.86105	182.49272	742	0	24.733334	48.746806383132935	234.21024	4.2618737	125.32329	2.267815	15.439127	0.2463888	1125.9102	955.0255	39.0	1.5768194070080863
25	1347.1349	78.82646	1801	0	60.033333	86.24045848846436	222.4603	5.471513	117.74658	5.60346	22.439781	0.38115385	1514.291	1028.8145	89.5	1.4908384230982787
26	342.55823	156.01163	525	0	17.5	71.58411741256714	223.59238	3.6863606	116.79079	2.3475468	19.574755	0.33521062	1336.6415	1117.1285	28.5	1.6285714285714286
27	614.69385	94.783226	1059	0	35.3	74.69259738922119	218.8253	4.266709	118.81532	2.8112688	17.413424	0.29311746	1114.7524	1127.4121	59.5	1.6855524079320112
28	381.79596	40.673824	525	0	17.5	76.48863315582275	235.41714	7.1095095	122.8113	5.0915885	21.816912	0.3552916	1246.1908	1061.9563	28.0	1.6
29	872.1939	182.9373	1062	0	35.4	75.14688491821289	202.18361	5.1860027	115.630394	2.3664293	24.638247	0.42615518	1684.4508	1016.01215	68.5	1.9350282485875707
30	624.37823	58.41824	1059	0	35.3	54.14441227912903	240.82625	5.6216593	128.36653	4.2859006	17.687769	0.27558225	1075.0604	1092.472	60.5	1.7138810198300283
31	1044.876	292.35205	1759	0	58.633335	68.19790363311768	261.3195	27.81996	125.456696	12.176245	17.82051	0.28409022	957.43176	1475.2799	93.5	1.5946560545764639
32	925.05414	46.14716	1541	260	51.366665	74.49161767959595	241.56458	4.289736	124.9693	5.7636724	18.00884	0.28821224	1373.475	638.8288	79.5	1.5476963011031797
33	567.7267	208.16148	739	299	24.633333	70.78726530075073	169.24222	4.575717	104.639206	5.4055705	23.047092	0.4405059	1511.5953	731.33795	42.0	1.7050067658998647
34	563.57556	150.4834	722	333	24.066668	75.53048372268677	218.17313	3.7214673	122.5164	2.3182685	23.417269	0.38227156	1007.001	734.4154	40.0	1.6620498614958448
35	343.58496	111.77623	409	333	13.633333	82.98821926116943	207.8753	3.8940127	119.094734	2.4233222	25.201832	0.42322326	961.1335	928.5843	25.5	1.8704156479217604
36	66.827065	45.968933	118	351	3.9333334	55.18274903297424	246.28813	4.676001	130.70906	2.3881147	16.989933	0.25996563	1525.8134	563.21106	6.5	1.652542372881356
37	1208.8861	69.75053	1425	376	47.5	121.40417575836182	219.20912	7.9940147	118.21549	4.3235917	25.450235	0.43057358	1770.2861	701.39154	89.0	1.8736842105263158
39	934.7709	89.88282	1354	447	45.133335	79.65904712677002	201.12999	7.7968063	108.66986	5.7548223	20.711319	0.3811787	1511.7048	647.4939	73.0	1.617429837518464
40	787.3083	375.34122	1331	470	44.366665	67.71692991256714	265.77084	12.548705	133.76169	4.48074	17.745491	0.26532996	1523.6259	336.1153	70.0	1.5777610818933132
41	714.75195	259.28818	1064	470	35.466667	88.95780086517334	239.89285	12.964087	124.28726	8.886558	20.15278	0.32429358	1381.1512	538.5039	58.0	1.6353383458646618
42	770.5762	283.1456	1330	471	44.333332	59.062596559524536	220.89249	4.3751493	118.80407	2.349526	17.381416	0.2926064	1224.1078	426.14798	72.0	1.6240601503759398
44	1033.9818	278.69464	1229	572	40.966667	119.33826684951782	257.09845	32.48173	127.07485	15.728773	25.23959	0.3972397	1652.8625	1270.1055	64.0	1.562245728234337
45	1066.9062	100.602936	1097	704	36.566666	92.96599388122559	234.3309	3.8993826	122.87512	2.6104243	29.177017	0.4749052	1254.26	1000.6906	67.5	1.845943482224248
46	708.8817	74.48596	1097	704	36.566666	74.61989879608154	221.11668	6.7577386	116.45197	4.856966	19.38601	0.33294427	1300.9509	1142.6642	54.5	1.4904284412032818
47	40.114902	23.429876	90	725	3.0	50.32184600830078	259.5	4.0258994	135.10445	3.1862273	13.3716345	0.19794515	1215.3759	562.4146	4.5	1.5
48	45.29259	25.772596	90	725	3.0	64.34179544448853	247.48889	3.6203063	128.32648	2.990719	15.09753	0.23529877	1188.0436	592.98566	2.0	0.6666666666666666
49	555.4626	104.22059	1021	780	34.033333	62.33708381652832	214.47894	3.7475216	117.34475	2.2544408	16.321135	0.27817407	1180.3871	735.52185	52.5	1.542605288932419
50	157.6498	93.295296	279	780	9.3	51.494425535202026	214.7957	3.3913531	122.067116	2.5382965	16.95159	0.27774215	1096.9801	764.7326	16.0	1.7204301075268817
51	90.981346	26.083565	206	826	6.866667	52.60594725608826	259.87378	3.651073	131.22826	10.214788	13.249711	0.20193382	1247.1123	553.164	7.5	1.0922330097087378
52	134.81929	62.76975	206	826	6.866667	71.07803106307983	250.05826	4.8766747	129.21072	3.3077006	19.633877	0.30390474	1220.6244	587.7318	10.0	1.4563106796116505
53	196.1115	101.12457	214	845	7.133333	74.32951927185059	207.79907	3.974307	119.147644	2.3255405	27.492266	0.46148232	1047.2451	896.8952	13.0	1.8224299065420562
54	465.38718	161.7896	956	845	31.866667	48.90204191207886	229.35251	3.5267422	124.7596	3.1222608	14.6042	0.23411746	934.7706	881.0374	49.0	1.5376569037656904
55	198.09738	87.728745	375	1060	12.5	46.69300675392151	242.95467	3.8964639	129.36288	2.2991283	15.847791	0.24501294	1055.2957	1129.5979	19.5	1.56
