Track 	Length	Distance	#Frames	1stFrame	time(s)	MaxSpeed	AvgArea	StdArea	AvgPerim	StdPerim	AvgSpeed	BLPS	avgX	avgX	Bends	BBPS
1	112.865814	54.72191	98	0	3.2666667	124.85239505767822	186.77551	7.9255953	113.05295	4.8885193	34.55076	0.61123145	1135.4901	332.43222	7.5	2.295918367346939
2	114.78486	42.479336	98	0	3.2666667	100.34917116165161	93.82653	5.3419666	87.70548	2.9123106	35.13822	0.80127764	1091.8302	386.16727	8.0	2.4489795918367347
3	1861.9197	226.55919	1797	0	59.9	106.03981018066406	190.36116	7.3806996	116.04586	2.7295184	31.083801	0.5357158	1277.9719	478.11072	123.5	2.0617696160267114
4	1997.3088	228.92969	1640	0	54.666668	105.95277786254883	145.27074	7.537573	101.01549	3.8429384	36.536137	0.723377	1359.7994	434.7286	113.5	2.076219512195122
5	280.69626	74.74599	180	0	6.0	129.85487937927246	140.4	12.321394	96.128975	6.6583605	46.782707	0.9733321	499.77798	453.4085	14.0	2.3333333333333335
6	1007.4258	32.855583	1332	0	44.4	88.14804553985596	215.44519	6.760083	122.53143	3.3096104	22.68977	0.3703502	971.40686	472.0011	85.5	1.9256756756756757
7	120.21875	46.760452	97	0	3.2333333	103.85012626647949	163.70103	6.334701	103.77229	4.1737084	37.181057	0.7165893	1460.9698	517.695	6.0	1.8556701030927836
8	111.48738	41.095436	97	0	3.2333333	86.8134069442749	159.93814	5.0266256	103.31814	1.7061679	34.480633	0.66746527	1440.2206	551.48584	6.0	1.8556701030927836
9	249.95206	56.78725	242	0	8.066667	84.18514251708984	148.58264	5.643212	103.42614	1.8644556	30.985792	0.59918684	962.0505	603.76953	18.0	2.231404958677686
10	218.75362	16.253382	242	0	8.066667	91.90062046051025	184.83884	5.6907563	112.91342	2.2273147	27.118216	0.48033646	1035.4406	651.2422	16.5	2.0454545454545454
11	892.1692	145.7295	919	0	30.633333	100.35341262817383	167.84004	6.5983005	106.962746	2.006415	29.12413	0.54456586	1400.3335	574.6534	67.0	2.187159956474429
12	395.8009	138.62245	479	0	15.966666	90.71188688278198	227.57411	6.410817	128.5578	3.0643742	24.7892	0.38565066	1271.4948	676.54443	30.5	1.9102296450939458
13	1943.6736	236.5829	1797	0	59.9	127.21046447753906	226.70172	8.211639	124.74964	4.022213	32.448643	0.5202202	553.5027	949.04724	125.0	2.0868113522537564
14	844.32153	39.644386	773	0	25.766666	158.35782051086426	163.19922	5.2142344	107.67497	2.265351	32.767975	0.60864615	1062.7166	757.3326	60.0	2.3285899094437257
15	2143.7954	194.07169	1797	0	59.9	256.80230140686035	184.82805	12.226014	109.45306	7.45549	35.789574	0.6539712	449.19357	784.22064	117.5	1.9616026711185308
16	182.0301	64.05674	155	0	5.1666665	106.29660129547119	140.06451	5.926692	96.829865	3.0294847	35.231636	0.7277018	1001.545	824.5373	11.5	2.225806451612903
17	1133.1671	127.728424	1562	0	52.066666	147.2703981399536	194.13124	6.2186356	115.17761	4.1433735	21.763773	0.37791672	905.46356	928.43054	91.5	1.7573623559539053
18	250.25668	39.94519	329	0	10.966666	135.12587070465088	162.78723	5.878108	104.72938	3.7295513	22.819757	0.4357852	1000.3331	866.17993	22.5	2.0516717325227964
19	429.30444	19.503374	401	0	13.366667	104.06925201416016	160.0399	4.9993405	104.13595	2.6493096	32.11754	0.61683863	1150.3649	937.7535	27.5	2.057356608478803
