Track 	Length	Distance	#Frames	1stFrame	time(s)	MaxSpeed	AvgArea	StdArea	AvgPerim	StdPerim	AvgSpeed	BLPS	avgX	avgX	Bends	BBPS
1	1345.3682	300.68158	1775	0	59.166668	120.5551815032959	234.2248	11.419472	127.11691	5.106828	22.738617	0.3577591	1017.82495	188.62662	101.5	1.7154929577464788
2	1163.4401	262.81564	1801	0	60.033333	79.54169511795044	226.87617	6.626269	125.66176	5.5076666	19.379902	0.30844548	935.5491	343.05734	102.5	1.7073847862298723
3	148.52307	32.761898	165	0	5.5	104.96798515319824	211.47879	57.56625	110.50879	28.065163	27.004196	0.48872486	1888.7863	374.63824	7.5	1.3636363636363635
4	1716.8286	209.18422	1801	0	60.033333	105.04860162734985	192.38979	9.495799	114.87535	5.5538716	28.597921	0.49789482	670.0412	335.244	92.5	1.540810660744031
5	1012.172	81.5662	1801	0	60.033333	62.37419128417969	237.76068	6.79885	129.75922	4.421997	16.860167	0.2598685	1785.5585	480.5209	98.0	1.6324264297612439
6	278.0848	96.225914	340	0	11.333333	80.1816987991333	211.05882	6.05209	121.55691	2.459653	24.536894	0.40371042	1300.4829	492.42484	21.0	1.8529411764705883
7	1418.2291	69.055305	1801	0	60.033333	72.85266637802124	210.71794	6.4277487	119.75639	2.4955425	23.624027	0.3945347	1849.7096	617.8975	106.5	1.7740144364242088
8	239.2174	95.156975	268	0	8.933333	73.93637895584106	219.24626	6.6201787	122.38997	3.036229	26.778067	0.43758598	1205.7279	662.28107	15.0	1.6791044776119404
9	1176.6812	181.32043	1719	0	57.3	100.49733638763428	222.39966	7.353	123.01408	5.075009	20.535448	0.3338715	1223.1243	611.74664	94.5	1.649214659685864
10	748.56433	320.24075	697	0	23.233334	102.36388206481934	226.25252	5.570287	128.82419	2.9945433	32.219414	0.5002075	638.78986	754.6992	44.0	1.8938307030129125
11	659.9667	179.69598	756	0	25.2	79.76260900497437	194.85185	6.8231597	115.92342	2.8069808	26.189154	0.4518354	1485.1769	760.6082	46.5	1.8452380952380953
12	1478.112	168.18973	1801	0	60.033333	85.87951183319092	228.2332	7.4227896	124.83907	2.920417	24.621523	0.3944522	833.62445	867.0524	106.5	1.7740144364242088
13	1612.1375	431.4597	1801	0	60.033333	87.52102375030518	207.97446	6.7912045	120.00216	3.4691818	26.854038	0.44755924	1764.4823	703.9532	110.0	1.8323153803442531
14	618.7021	221.52597	697	0	23.233334	89.2496109008789	209.32281	6.4752364	121.9513	3.9187632	26.62993	0.43673056	551.14996	812.4101	39.5	1.7001434720229556
15	505.22327	97.711914	401	0	13.366667	89.02172327041626	231.39153	7.413759	129.90125	3.8618507	37.797253	0.5819382	1395.0134	766.374	25.5	1.9077306733167083
18	385.59488	177.6766	401	0	13.366667	83.78824710845947	268.63593	6.160934	138.47852	2.5595803	28.847496	0.41663498	1228.9207	876.56335	24.5	1.832917705735661
