Track 	Length	Distance	#Frames	1stFrame	time(s)	MaxSpeed	AvgArea	StdArea	AvgPerim	StdPerim	AvgSpeed	BLPS	avgX	avgX	Bends	BBPS
1	1277.9994	6.5051584	1789	0	59.633335	125.19773483276367	214.30855	6.724928	122.569695	2.743883	21.430958	0.34969425	958.2453	462.36975	121.0	2.029066517607602
2	2410.9048	88.816696	1789	0	59.633335	144.2153263092041	149.75797	5.6336813	102.76035	2.034645	40.42881	0.7868562	1143.4291	454.79248	127.5	2.1380659586361097
3	1472.5951	264.01416	1198	0	39.933334	124.82653141021729	142.59515	10.748692	99.26485	6.1542125	36.87634	0.7429889	614.3427	440.31503	92.5	2.3163606010016693
4	201.92442	80.210144	164	0	5.4666667	128.27570915222168	156.54878	8.322713	100.03544	6.460428	36.937393	0.7384862	1065.9712	564.40576	11.5	2.1036585365853657
5	144.97537	47.19292	171	0	5.7	84.08097267150879	183.14035	5.02033	112.1838	2.2843986	25.434275	0.45343935	927.8856	627.69836	12.0	2.1052631578947367
6	896.4248	161.13434	919	0	30.633333	90.2909803390503	151.85854	5.452869	104.345345	2.3246837	29.26305	0.56088847	832.01636	699.12286	66.5	2.1708378672470077
7	399.24335	19.921173	403	0	13.433333	90.55433750152588	138.5856	5.218556	96.97331	2.2600315	29.720348	0.6129593	919.2278	741.6265	32.0	2.3821339950372207
8	545.6879	36.769234	639	0	21.3	104.85086917877197	178.82004	6.9762588	107.55942	7.1949534	25.619152	0.4763721	1145.4512	751.5711	36.5	1.7136150234741785
9	1713.1564	213.32436	1402	0	46.733334	160.4007339477539	173.20256	11.070292	108.64385	8.272466	36.658123	0.6748311	1279.671	835.96625	90.5	1.9365192582025677
10	786.0598	89.10061	1029	0	34.3	74.03107166290283	161.68222	5.265988	103.98805	2.9213905	22.917196	0.44076595	1094.1919	845.31964	69.0	2.011661807580175
11	629.671	65.651474	708	0	23.6	180.87993621826172	159.09464	5.96485	105.4597	6.4336257	26.680975	0.5059937	997.4107	934.14984	39.0	1.652542372881356
12	1563.8126	157.76303	1789	0	59.633335	95.40611028671265	191.12912	7.356957	113.43685	5.344916	26.2238	0.46235064	1790.7186	998.9947	107.5	1.8026830631637787
13	1232.0066	229.78282	1607	0	53.566666	90.71237325668335	194.35283	6.0406957	115.58956	3.233565	22.999502	0.3979512	875.29443	863.77026	109.5	2.044181705040448
14	2404.6206	774.1138	1789	0	59.633335	227.99845218658447	177.72275	8.478638	113.2669	5.209818	40.323433	0.71200734	1448.7891	569.28625	138.5	2.3225265511458915
15	530.5116	129.18806	511	0	17.033333	102.27320909500122	134.24266	7.460998	96.65312	11.7128525	31.145496	0.6444799	1277.4517	1117.4912	26.5	1.5557729941291585
16	477.50745	88.554634	642	0	21.4	117.24106550216675	162.06386	7.007059	108.572556	8.036664	22.31343	0.41103265	1184.3413	1136.2001	28.0	1.308411214953271
17	1799.3591	229.3658	1789	0	59.633335	219.7609519958496	185.50755	6.561495	114.68957	4.003948	30.173714	0.5261806	817.9184	1015.778	120.5	2.020681945220794
18	220.65977	97.8197	175	0	5.8333335	94.98364448547363	166.69714	8.262555	110.02447	6.139658	37.82739	0.6876178	1056.0406	1157.5708	13.5	2.3142857142857145
19	214.42023	58.04659	175	0	5.8333335	104.25551891326904	153.62857	7.264643	103.68906	3.6885138	36.757755	0.7089997	944.3609	1173.123	10.5	1.8
20	1436.7115	41.8783	1789	0	59.633335	158.30224514007568	136.14253	7.45991	101.64966	3.747481	24.092424	0.47402865	1536.563	1178.3885	105.0	1.7607602012297372
21	452.80927	152.77406	511	0	17.033333	87.02603816986084	194.29158	6.867307	120.90494	2.5969403	26.583714	0.4397457	1361.955	1181.8397	37.5	2.2015655577299413
22	488.0148	126.54314	459	0	15.3	104.53212261199951	163.92157	14.553708	103.25877	13.605255	31.896393	0.6177953	611.91034	1233.3195	26.5	1.7320261437908497
23	1759.6616	194.23474	1789	0	59.633335	144.48795318603516	166.365	6.058193	107.1679	3.3021576	29.50802	0.5506877	807.08795	1188.6119	124.5	2.08775852431526
24	649.07196	118.61943	795	0	26.5	94.07297372817993	188.04529	5.919524	114.307915	4.8139157	24.49328	0.42854917	878.78326	1362.2627	43.0	1.6226415094339623
25	1051.0133	198.52379	987	0	32.9	132.96257972717285	185.5086	8.945104	115.562775	5.7870574	31.945692	0.55287164	1209.3286	1240.2675	57.0	1.7325227963525835
26	1388.9891	21.948032	1678	0	55.933334	158.96172523498535	241.42372	8.099108	133.39604	3.8775425	24.832941	0.37231898	1225.8865	1315.2224	107.5	1.9219308700834326
27	2237.6682	500.99387	1789	0	59.633335	204.87846851348877	175.72386	6.623782	109.69175	4.178867	37.523785	0.68416786	1749.4283	1220.7336	119.5	2.003912800447177
28	579.5108	161.92256	795	0	26.5	134.37583923339844	161.78616	7.4831166	109.62924	4.01068	21.868332	0.39895073	935.6344	1356.0754	58.5	2.207547169811321
29	793.6147	125.308945	768	0	25.6	99.76770401000977	158.35156	6.496522	110.16187	5.404918	31.000574	0.5628186	1357.4921	1501.0096	52.5	2.05078125
30	1026.1515	68.74835	768	0	25.6	107.5855565071106	196.32161	7.4827538	119.31337	5.602946	40.08404	0.67191195	1251.5962	1644.6118	54.5	2.12890625
31	2147.0935	334.15466	1779	10	59.3	194.03772354125977	222.80214	8.669871	123.177246	4.3538284	36.20731	0.5878896	678.3701	686.1714	126.0	2.124789207419899
32	506.7158	189.0795	569	10	18.966667	103.89554500579834	230.68893	6.5067596	129.54582	3.0944223	26.716124	0.4124583	974.57153	803.23926	39.0	2.0562390158172232
33	145.84851	53.242542	140	44	4.6666665	91.46991491317749	93.28571	6.1049404	87.39299	2.7260053	31.253254	0.71523476	1094.6741	338.95044	11.5	2.4642857142857144
34	175.98402	69.79182	156	44	5.2	95.85288047790527	169.8141	5.870434	106.866	2.3068051	33.843082	0.63337415	1115.9274	381.1459	10.5	2.019230769230769
35	534.0708	82.32124	526	113	17.533333	106.17078065872192	229.44676	8.054813	122.78748	5.2932377	30.460314	0.49614686	1037.7228	641.5345	30.0	1.7110266159695817
36	429.80893	115.04616	385	121	12.833333	173.13393115997314	184.43896	6.619655	114.32387	2.6924763	33.491608	0.5859075	1420.9579	423.12344	26.0	2.0259740259740258
37	468.63727	121.90059	385	121	12.833333	110.29759168624878	162.11948	6.643156	107.48198	1.8799993	36.51719	0.6795035	1415.7103	482.43674	29.0	2.25974025974026
38	1899.5547	403.39343	1657	132	55.233334	164.3825912475586	157.09294	8.956608	102.04269	4.4819818	34.391457	0.67406017	1510.1549	484.7588	109.5	1.9824984912492456
39	1494.8131	440.1037	1202	164	40.066666	115.57249546051025	156.18053	6.4432335	102.73134	3.8579895	37.308147	0.72632456	1264.2069	726.2622	87.5	2.1838602329450914
40	300.85144	89.12082	436	171	14.533334	87.03364849090576	195.13762	7.9769416	115.05311	3.4960246	20.700787	0.35984752	988.4454	1060.583	24.5	1.6857798165137614
41	449.75266	131.05208	416	171	13.866667	95.53969144821167	180.04086	5.22697	113.02488	3.8801792	32.434086	0.57392824	1040.3783	1135.2313	23.5	1.6947115384615385
42	1071.3723	19.604408	1165	237	38.833332	95.62668800354004	172.83777	6.534362	113.23619	3.3245564	27.588985	0.48728216	1130.8794	968.93335	81.0	2.0858369098712446
43	1021.45703	79.61886	1215	247	40.5	107.63024568557739	161.7111	6.807158	108.31558	6.728213	25.22116	0.46569774	1139.8716	1083.4993	81.0	2.0
44	1258.5232	36.909954	1142	247	38.066666	188.18285465240479	146.05516	5.564499	103.474106	2.1613078	33.06103	0.6390204	1143.1405	1083.8843	83.0	2.180385288966725
45	223.3625	39.75749	338	249	11.266666	80.67106246948242	159.20119	6.431174	102.76495	6.3977003	19.825075	0.38583335	1007.30304	1164.7168	14.5	1.28698224852071
46	1917.9938	195.46877	1540	249	51.333332	236.17757320404053	163.37143	10.737083	107.298195	10.28449	37.363514	0.69644254	805.3301	1226.6117	105.5	2.0551948051948052
47	624.34186	210.49304	582	251	19.4	373.9401054382324	170.67697	11.547199	107.842354	8.178889	32.18257	0.59684473	1253.3331	327.83392	37.0	1.907216494845361
48	382.0297	17.807312	451	305	15.033334	79.84007835388184	184.25943	5.7543507	112.52398	2.2984045	25.412174	0.4516757	978.6642	607.482	32.5	2.161862527716186
49	96.78959	49.679066	98	305	3.2666667	82.86171197891235	187.06122	5.9807534	113.69496	2.4433517	29.629465	0.52120984	904.3042	662.285	7.0	2.142857142857143
50	118.99655	39.297157	107	384	3.5666666	97.58600234985352	97.345795	6.381138	81.347	11.606672	33.363518	0.8202765	1043.765	368.09268	5.5	1.5420560747663552
51	174.22014	64.00512	167	396	5.5666666	84.24302816390991	87.08383	4.524915	74.8635	3.326487	31.297031	0.83610916	1620.1537	913.07587	10.5	1.8862275449101797
52	135.664	65.64111	149	430	4.9666667	74.7169303894043	189.68457	5.4252753	113.844444	2.4846096	27.3149	0.47986358	932.5751	724.0733	11.0	2.214765100671141
53	654.5051	127.06484	682	430	22.733334	97.64396667480469	137.23167	8.400877	95.66061	7.4057145	28.790548	0.60193115	938.8153	804.46027	47.5	2.089442815249267
54	1592.6937	453.92587	1330	459	44.333332	170.29216289520264	184.02556	9.8523	111.65308	5.401827	35.925423	0.6435187	485.11847	947.9483	92.0	2.075187969924812
55	493.37714	90.53881	420	492	14.0	110.66492557525635	94.307144	6.961774	86.58011	3.8112705	35.241226	0.81407213	1093.0112	352.91046	31.5	2.25
56	229.44627	44.265167	264	569	8.8	126.3654613494873	186.73106	7.7978024	113.78409	5.566915	26.07344	0.45829678	1387.248	355.5727	17.5	1.9886363636363635
57	370.6823	126.91668	304	569	10.133333	104.49655294418335	165.27632	8.910777	108.02136	2.3536997	36.58049	0.6772825	1390.4354	311.70673	21.0	2.0723684210526314
