Track 	Length	Distance	#Frames	1stFrame	time(s)	MaxSpeed	AvgArea	StdArea	AvgPerim	StdPerim	AvgSpeed	BLPS	avgX	avgX	Bends	BBPS
1	1095.7906	37.940144	1216	0	40.533333	95.71105241775513	233.14638	5.709709	128.47183	3.7519379	27.03431	0.42085972	1178.175	300.6082	70.5	1.7393092105263157
2	1781.8237	118.264305	1801	0	60.033333	111.04148626327515	231.03609	4.477267	123.50021	3.0467873	29.680573	0.4806562	1203.7246	487.47525	106.5	1.7740144364242088
3	905.2166	71.05305	1540	0	51.333332	73.89692544937134	235.57143	5.425324	126.96104	6.0633416	17.63409	0.27778742	1425.1727	489.7836	82.0	1.5974025974025974
4	644.0659	123.41249	997	0	33.233334	73.19223403930664	214.78937	3.7060363	118.88143	2.599036	19.380117	0.32604113	900.3462	625.6322	54.5	1.6399197592778334
5	674.3809	339.81723	1216	0	40.533333	53.411375284194946	247.48685	6.2372694	128.16786	2.8034358	16.637688	0.25962338	1108.8032	470.507	64.5	1.591282894736842
6	227.92775	29.219883	458	0	15.266666	49.94322180747986	213.76855	3.5234344	117.43639	2.1393745	14.929766	0.2542613	1160.8864	677.597	26.5	1.7358078602620088
7	124.9729	62.171463	241	0	8.033334	62.51875162124634	254.06224	4.367525	127.43801	6.611501	15.556792	0.24414682	1394.8943	734.72626	11.0	1.3692946058091287
8	461.75644	75.02353	565	0	18.833334	73.75377416610718	216.06903	4.2343388	116.08788	2.3793387	24.518042	0.42240483	1323.6329	814.04364	33.5	1.7787610619469028
9	177.33919	75.27265	241	0	8.033334	69.55281972885132	193.45229	9.4445095	106.38871	6.423128	22.075417	0.4149955	1334.0591	798.7344	13.0	1.6182572614107884
10	375.12427	28.74587	750	0	25.0	54.661967754364014	242.90533	4.428075	124.118195	2.6988893	15.0049715	0.24178518	1385.8834	877.04016	46.0	1.84
11	443.45605	107.87415	727	0	24.233334	88.91433477401733	255.3879	6.4524765	132.16537	6.993008	18.299425	0.27691707	1643.4772	889.4638	38.0	1.5680880330123796
12	807.4622	136.6488	997	0	33.233334	86.37547016143799	218.50151	4.47452	122.208115	4.869175	24.296757	0.39762917	908.9791	821.41797	56.0	1.6850551654964894
13	989.7161	113.966545	1801	0	60.033333	83.47608089447021	236.75014	7.168432	120.65712	5.217667	16.486109	0.27327204	1791.929	927.09454	97.5	1.6240977234869516
