Track 	Length	Distance	#Frames	1stFrame	time(s)	MaxSpeed	AvgArea	StdArea	AvgPerim	StdPerim	AvgSpeed	BLPS	avgX	avgX	Bends	BBPS
1	993.43085	614.7565	1801	0	60.033333	65.35756587982178	266.38644	6.3484483	134.16771	2.2633188	16.547987	0.24667618	1090.5819	164.47702	98.5	1.640755136035536
2	988.7821	81.5773	1801	0	60.033333	66.03975534439087	204.42644	4.527601	115.73954	3.8965225	16.47055	0.2846141	753.0419	396.39203	95.0	1.5824541921154913
3	1101.542	53.319057	1801	0	60.033333	70.7463026046753	221.9789	4.8404083	118.23133	4.352471	18.348839	0.31038877	1179.4633	362.5379	94.0	1.5657967795669072
4	1503.0265	187.30876	1801	0	60.033333	106.0027527809143	229.7357	6.1853857	123.81211	4.4172993	25.036531	0.40442783	1082.5594	444.0266	102.0	1.6990560799555803
5	1004.8322	293.8274	1801	0	60.033333	56.631460189819336	252.98889	6.003507	129.62328	2.8392694	16.737906	0.25825462	657.9832	626.9722	98.0	1.6324264297612439
6	855.72516	72.61936	1801	0	60.033333	55.65707802772522	260.89505	4.0611415	133.41238	4.599186	14.254167	0.21368581	1234.2908	501.41046	82.5	1.3742365352581898
7	646.50256	96.55094	1059	0	35.3	62.762110233306885	217.15392	4.014142	119.64879	2.5189545	18.31452	0.30613798	936.3068	571.4496	57.5	1.6288951841359773
8	800.8801	45.335236	1258	0	41.933334	70.7310962677002	200.64786	11.074816	108.2823	9.573084	19.09889	0.35276106	1456.0223	547.2039	62.5	1.4904610492845787
9	120.86323	70.22184	236	0	7.866667	57.64062523841858	253.57628	3.9912815	129.61151	2.4182563	15.36397	0.23707725	1336.2603	591.8272	11.0	1.3983050847457628
10	849.8829	193.29749	1470	0	49.0	85.00207901000977	242.75374	8.080975	126.6929	4.7980566	17.34455	0.27380458	1680.9028	655.7353	64.5	1.316326530612245
11	807.1889	95.88046	1059	0	35.3	76.05201244354248	223.90463	7.415903	123.52796	7.219545	22.86654	0.37022454	800.75446	612.7665	60.5	1.7138810198300283
12	107.80511	41.990578	236	0	7.866667	54.29028868675232	240.77118	4.0400357	121.34779	11.323889	13.70404	0.22586384	1374.421	660.8591	8.5	1.0805084745762712
13	369.29956	112.53653	451	0	15.033334	72.66986846923828	233.16408	8.213249	122.063896	6.2043457	24.56538	0.40250033	1259.6882	668.1014	22.5	1.4966740576496673
14	929.75793	63.129314	1801	0	60.033333	69.46698904037476	216.39922	3.8470738	117.61849	2.6066575	15.487361	0.2633491	1261.1702	734.64954	96.5	1.6074403109383675
