Track 	Length	Distance	#Frames	1stFrame	time(s)	MaxSpeed	AvgArea	StdArea	AvgPerim	StdPerim	AvgSpeed	BLPS	avgX	avgX	Bends	BBPS
1	1631.9329	110.29108	1801	0	60.033333	105.02916097640991	168.3287	9.200828	103.37765	3.310787	27.183779	0.5259121	1345.7766	161.56253	126.5	2.107162687395891
2	408.21606	155.72246	399	0	13.3	137.6941680908203	110.62406	8.851881	88.107956	4.389985	30.692936	0.6967121	942.8267	206.17915	32.5	2.443609022556391
3	1360.2872	613.1767	1684	0	56.133335	105.67710399627686	213.46971	15.761658	122.34601	8.290784	24.233145	0.39614114	1598.5016	463.64407	116.5	2.07541567695962
4	1337.1205	208.27325	1010	0	33.666668	121.73357963562012	156.66832	5.617815	105.11602	3.8569407	39.71645	0.7556688	965.16583	460.4732	69.5	2.0643564356435644
5	786.08386	41.99393	1010	0	33.666668	84.988853931427	211.44356	6.3744473	121.75676	2.6843946	23.349026	0.3835356	1090.492	434.17416	67.5	2.004950495049505
6	666.4818	68.10191	664	0	22.133333	127.25785732269287	193.32681	6.51927	115.97691	4.483244	30.112131	0.519278	1224.7783	581.41174	40.0	1.8072289156626506
7	1657.9067	168.05289	1801	0	60.033333	125.65109252929688	145.58578	6.101138	102.94613	2.3677833	27.616436	0.5365221	1088.3278	577.59076	131.5	2.1904497501388116
8	588.43933	28.987595	710	0	23.666666	78.89613389968872	183.95352	5.287165	112.46491	3.3988943	24.863632	0.44215804	977.86	620.1298	48.5	2.0492957746478875
9	1246.2758	217.41084	1160	0	38.666668	131.66321754455566	177.1319	9.347423	108.74387	7.5222135	32.23127	0.5927924	592.33057	719.2979	72.5	1.875
10	715.6021	215.13597	668	0	22.266666	91.05969429016113	199.49402	8.086208	115.94883	7.791146	32.13782	0.5543449	1040.5737	725.7189	40.0	1.7964071856287425
11	645.7371	62.84467	668	0	22.266666	104.99473571777344	176.7021	6.168513	108.788895	5.4359365	29.000172	0.5331458	1245.4244	719.5885	44.0	1.9760479041916168
12	1465.1514	184.5774	1801	0	60.033333	98.61712217330933	189.73238	5.9418945	115.51749	2.8740628	24.40563	0.42254436	758.46063	698.8937	116.0	1.932259855635758
13	529.6025	95.28138	554	0	18.466667	100.90144872665405	165.3917	6.189591	106.81769	2.753448	28.678833	0.5369679	1650.6675	700.99286	36.5	1.976534296028881
14	1539.1907	271.10135	1801	0	60.033333	93.41554641723633	169.88007	6.0562224	110.3569	2.7145169	25.638935	0.46465486	808.6715	646.0671	124.0	2.065519156024431
15	521.146	235.55414	754	0	25.133333	73.31428527832031	172.80371	5.4345007	111.14835	2.6501725	20.735252	0.3731095	1011.8245	941.9627	50.5	2.009283819628647
16	209.60687	79.85753	182	0	6.0666666	117.9967474937439	174.86813	7.6435924	110.6766	6.05575	34.550583	0.6243521	1195.3208	921.86865	11.5	1.8956043956043955
17	606.7537	277.8527	710	0	23.666666	92.4796199798584	186.36197	5.676514	113.58037	2.074781	25.637482	0.45144212	910.912	789.11816	50.5	2.1338028169014085
18	125.42399	66.526955	182	0	6.0666666	53.783226013183594	195.82967	6.6796136	114.71722	2.7307925	20.674284	0.36043906	1126.717	936.4269	10.5	1.7307692307692308
19	883.5833	259.15573	669	0	22.3	116.96562051773071	226.89088	10.236503	124.984985	3.421407	39.62257	0.6340373	574.0623	835.04297	52.5	2.3542600896860986
20	260.7537	87.500626	223	0	7.4333334	115.77002048492432	128.94618	19.677736	97.87365	7.630654	35.07897	0.7168215	338.1441	912.2202	16.0	2.1524663677130045
21	508.40002	137.24164	359	0	11.966666	106.17269039154053	185.60167	9.92824	109.47032	2.82294	42.48468	0.7761863	1965.9187	945.4349	27.0	2.256267409470752
22	871.8241	190.07216	1160	0	38.666668	101.20197057723999	174.31638	5.9977627	108.936806	3.9744768	22.547176	0.41394964	726.6849	875.0782	74.5	1.9267241379310345
23	263.91486	33.078648	345	0	11.5	85.20343065261841	151.3942	5.0406456	102.84939	2.176273	22.949118	0.4462665	1235.0022	1044.8213	21.5	1.8695652173913044
24	110.63859	52.569317	128	0	4.266667	109.77354526519775	185.70312	5.4877954	115.11803	2.367934	25.930918	0.4505101	1003.96594	1085.9546	9.5	2.2265625
25	462.02054	54.871906	566	0	18.866667	93.91489505767822	183.26324	7.2326417	111.88731	4.9613833	24.488722	0.43773904	1666.2034	1269.1367	31.0	1.6431095406360423
26	562.20953	56.69831	566	0	18.866667	140.29040336608887	132.35689	6.651889	101.955536	3.1510832	29.799091	0.58455074	1583.3782	1276.9602	42.0	2.2261484098939928
27	591.5003	55.363976	738	0	24.6	91.81026220321655	187.60976	8.412017	115.46248	5.179729	24.04473	0.41649422	889.9009	1558.2837	47.0	1.910569105691057
28	741.0389	108.35576	600	0	20.0	236.61932945251465	156.54333	9.299764	106.396545	10.141654	37.051945	0.6964877	1508.4873	1535.854	38.0	1.9
